,name,pref,review_score,review_num,status,url,address,lat,lon
158,恵比寿ブタメン,千葉県,77.91,44,営業,https://ramendb.supleks.jp/s/54663.html,〒299-3251 千葉県大網白里市大網464-3,35.52429,140.328732
159,野郎ラーメン 大森店,東京都,77.91,49,営業,https://ramendb.supleks.jp/s/71879.html,〒143-0046 東京都大田区大森北1-3-9,35.587462,139.728724
160,麺屋あらき 竈の番人外伝,千葉県,77.83,110,営業,https://ramendb.supleks.jp/s/13352.html,千葉県船橋市西船5-3-10,35.710676,139.956377
161,景勝軒 前橋総本店,群馬県,77.81,139,営業,https://ramendb.supleks.jp/s/23422.html,〒370-0124 群馬県前橋市公田町677-1,36.341958,139.081146
165,ひたちなか大盛軒,茨城県,77.79,138,営業,https://ramendb.supleks.jp/s/34255.html,〒312-0062 茨城県ひたちなか市高場1498,36.424427,140.542893
166,175°DENO担担麺 神田駅北口店,東京都,77.78,14,営業,https://ramendb.supleks.jp/s/118558.html,〒101-0045 東京都千代田区神田鍛冶町3-3-2 神田小鍛冶ビル1F,35.693471,139.770579
167,雷神屋,千葉県,77.73,27,営業,https://ramendb.supleks.jp/s/79250.html,千葉県千葉市若葉区小倉台2-1-7,35.62733,140.17131799999999
168,ぬ〜どる専門店 バカみたいに愛してた,千葉県,77.71,40,営業,https://ramendb.supleks.jp/s/85987.html,〒270-0023 千葉県松戸市八ヶ崎1-1-1,35.810590999999995,139.934127
169,豪徳寺ラーメン りらくしん,東京都,77.69,75,営業,https://ramendb.supleks.jp/s/29901.html,〒154-0021 東京都世田谷区豪徳寺1-5-1,35.650583000000005,139.647516
170,肉そば千,東京都,77.66,27,営業,https://ramendb.supleks.jp/s/72417.html,東京都杉並区西荻南3-7-7,35.702612,139.60104099999998
171,Smart Pig,茨城県,77.6,13,営業,https://ramendb.supleks.jp/s/120697.html,〒306-0012 茨城県古河市旭町2-9-4,36.197014,139.724729
172,ラーメン 虎ノ門店,東京都,77.58,85,営業,https://ramendb.supleks.jp/s/8489.html,東京都港区虎ノ門3-2-13,35.667109,139.746283
173,らーめん大 大森店,東京都,77.54,487,営業,https://ramendb.supleks.jp/s/269.html,〒143-0012 東京都大田区大森東1-3-12,35.575586,139.73473700000002
174,山勝角ふじ 総本店,千葉県,77.48,15,営業,https://ramendb.supleks.jp/s/97964.html,〒270-0034 千葉県松戸市新松戸2-22 TSビル1F,35.824706,139.92065300000002
